Session ID,Date started,"Imagine you are writing a complaint letter to the head of Walmart...in detail, tell us the things you would complain about and why they matter?",What do you think Target does better than Walmart?,What do you LOVE most about Walmart?,Gender,Age group,State,Who does it better? Target or Walmart?
d6951e0f-d7c1-40c7-a0d2-ff321eea05dd,10/02/2022 01:00,I wouldn't complain about anything,Target has a better variety,I like everything about it,Female,35-44,Texas,Target
0aaa13e7-b5be-4ca8-98a2-e40e9c7d0b56,10/02/2022 01:00,I would complain about how dirty and unorganized the store is,Employees are more helpful and the stores are much cleaner and better organized.,Low prices.,Male,35-44,Texas,Target
110a8c6d-ce83-4b51-bbd3-45d73e2c8651,10/02/2022 01:00,No matter to complain about,,Variety easy to shop,Female,35-44,Texas,Walmart
1468d723-5503-4004-bca7-e306a7bc0618,10/02/2022 01:00,"To whom it may concern, please add more cashiers because with the current amount it causes checkout delays and long lines. The staff need more customer service training because some are very rude and do not acknowledge customers. If improvements are made in overall customer service it will your customer coming back.""",,I love the affordable prices and convenient location.,Female,45-54,Texas,Walmart
323b6ba0-0094-4e9d-8531-8b7e565bd7eb,10/02/2022 01:00,I don't think I would complain unless an associate was rude to me or was out of line,,They have a variety of all things I could possibly need,Female,25-34,Texas,Walmart
3553179a-b3cc-48d4-b591-143fd1049b08,10/02/2022 01:00,The location in Shreveport on Pines Road. The store is a total mess.,,The huge selection of products and low prices,Male,35-44,Texas,Walmart
86ff1e72-15a1-41ca-94ce-50c8061e2774,10/02/2022 01:00,If i was writing a complaint to walmart i would complain about  the shortgage of open checkout lines.  I would let Walmart know that the more lines that they have open the faster customer can quickly get in and out waiting in long lines,,What o love about walmart is the variety of products,Male,25-34,Texas,Walmart
9d7b15de-f8f1-4593-a197-2fcc4cec85cf,10/02/2022 01:00,I do not like how poor the service has gotten. Feel like I am a burden to associates at times,Because their employees seem more helpful and happier.,That I can many things in one place,Male,35-44,Texas,Target
b892af12-604d-4f47-ac2b-72d20c988ef2,10/02/2022 01:00,here's what really really grinds my gears... whenever they have really long lines but only 2 cashier's actually working. they expect us to give them money and their work. it's baffling to be,,"i like that they try and give jobs to people otherwise would have a hard time getting jobs whether it be older people or people with learning disabilities. they help our communities. obviously o love going spoony there, especially before Corona. electronic department the most",Male,35-44,Texas,Walmart
cdd06e79-4476-4a9d-a295-5bc380a9d208,10/02/2022 01:00,Poor customer service with bad attitude,,I love the labtop and smart tv,Male,25-34,Texas,Walmart
ce6beab9-da05-44ea-97bb-5e792be862dc,10/02/2022 01:00,How the staff are rude and not helpful,They have more in style things and the employees are nice,It's so big,Female,18-24,Texas,Target
da5b57ef-7b9d-4442-9b31-eea22ea803c0,10/02/2022 01:00,Nprices higher in some areasot enough checkouts open ever;,,Good quality at reasonable price,Female,,Texas,Walmart
e310c787-53ef-4a91-9cb3-d3dc2d68f0f8,10/02/2022 01:00,I honestly can't think of anything that I would want to complain about,,The diversity of products. I mean just about anything you can think of you need Walmart has it I mean they even have a automotive section.,Male,45-54,Texas,Walmart
f213551e-7a23-49d4-a01e-922bb83a25da,10/02/2022 01:00,"Hard to look up item via website,  disorganized listings""","Better membership and store policies (matching price, free shipping), improves continuously, more organized store and online",Competitive prices,Female,35-44,Texas,Target
33465518-9711-4c91-8bc9-acf2f4e977a8,10/02/2022 01:00,The prices are not real,,How the make you get more when you came for the specifics,Male,35-44,Texas,Walmart
36c5eec1-b933-418a-a058-22d7914d20f1,10/02/2022 01:00,Sometimes when shopping there aren't enough regular registers open. The checkout lines can be long. You're often out of some things that I wish to buy.,,I like the products that they sell. Their groceries are affordable. They have a great produce selection. Their self checkouts are easy to use.,Male,55-64,Texas,Walmart
5bb594bd-e7c6-49ae-94d6-dd3eceeafa9d,10/02/2022 01:00,I would complain about the dirty bathrooms first!! sThe store is way too bright and not organized! Its really hard on the eyes.,Target is classier.Target is Cleaner.Its more calming and has way better atmosphere.,they have really good prices,Female,45-54,Texas,Target
6222091e-f4f3-4df2-8420-b6c716b174fb,10/02/2022 01:00,Customer service,Smaller and more customer service oriented,Price,Male,35-44,Texas,Target
77a3ab4a-b0a3-4683-85d8-d043f7e8912a,10/02/2022 01:00,"Better staff, more stock options""",,"Fast, convenient, easy location, has everything you need, quick",Female,25-34,Texas,Walmart
a68560b4-a3cd-44f4-9037-5beac7940ef4,10/02/2022 01:00,"Not enough lanes open. Covid is on . You shouldn't  have to stand in line, for a while.""",,Usually has all my items I need.,Female,55-64,Texas,Walmart
b90b66ce-4b2a-4547-a4e8-1bc9eabde81f,10/02/2022 01:00,I really don't have anything to complain about Walmart is amazing,,It has everything everyone needs and affordable prices,Female,18-24,Texas,Walmart
cbd5ec1a-8d44-4587-8e11-e354b7428950,10/02/2022 01:00,More self checkouts. Faster self checkout.  And number one thing is i wish they still sanitized the karts after every use with the spray.  Trying to clean it before i walk in just makes me feel crowded and in the way.  Especially when im still paranoid of covid.,,Variety of everything in one place.  Cheap prices.  And leading brands. And there is a store everywhere.,Male,25-34,Texas,Walmart
ed7d65ee-540d-4323-b73d-d393f0213c37,10/02/2022 01:00,"NEVER  enough cash registers open.  We should not have to do our own check out and bagging, especially when there are employees just standing around.""","Target is cleaner, not as much variety, but much easier to locate items.  They need to do better with their check outs also",The price of items and most all items that are needed are in one place. There is usually variety of brands for selection.,Female,45-54,Texas,Target
efb8b4ef-bad4-4d87-94f4-9280d5bea4c8,10/02/2022 01:00,"In terms of complaints, it would be nice if sections weren't constantly being rotated. Each store that I have been to, it becomes hard to find something when I'm used to it being in one location, only for it to have moved a few weeks or months later. It would also be nice if the delivery system was more careful with their deliveries, like making sure that it's the correct house.""","Whenever I go to target, I know where everything is. The ceiling also isn't massively high, so it feels a little more welcoming in comparison to Walmart. The colors are also warm, so that adds to the welcoming aspect.",I like that I'm able to pick up a wide variety of items at a single location. It usually has what I need and it makes shopping easier. I also like that their prices aren't that bad in comparison to some other locations.,Male,25-34,Texas,Target
140d2c10-9446-4552-bbd0-88b14e6a0bbd,10/02/2022 01:00,"I would complain about changing the checkout lanes at some of the stores where they no longer have a conveyer belt. Also, every store is extremely hot and stuffy.""",They try to keep lots of registers open. The stores are not too hot. They also feel less cluttered and more open.,"Well, for the most part they have been the one to come through when I needed certain things for a birthday for one of my kids during the pandemic. They also have a convenient app and delivery program. Plus, Walmart treats their workers better than Amazon.",Female,25-34,Texas,Target
360025a0-4fcd-4cba-9f3a-e98afad295d1,10/02/2022 01:00,The greeter is too old and not taken proper care of.,,The store layout.,Male,35-44,Texas,Walmart
3733048d-1223-4c22-b917-a517cd63451b,10/02/2022 01:00,Produce department could be improved in both quality and price.,Merchandising and cleanliness,Late hours and lots of iBotta deals,Male,45-54,Texas,Target
4d65d366-65bf-4c43-820e-434625e61811,10/02/2022 01:00,I don't know. V,,Shop all one stop. Best customer service and awards program. Everyday low prices.,Female,35-44,Texas,Walmart
939302e4-e69c-412c-861b-a1b6fd28891f,10/02/2022 01:00,"I find the displays are too tightly packed to be able to maneuver your carts successfully through them in some locations.  Last time I was shopping in Dallas, TX all of the employees there including the cashier was from an Eastern Block country and could not speak English.  The cashier put her hands around her face to make it look like a picture frame in order for me to show her my ID.  When I stopped to ask several people where an item was, none of them spoke English.  They should not be working on the floor and definitely not at a cash register under they have some English skills.  I also find that some of the times I purchase there are fairly low quality like clothes that the seams come out of.""",I have always had employees be able to speak English in Target.  Most of the time I feel their products are just a bit better in quality but maybe not as much selection.  I think target has a higher class of customers that do not show up in pajamas.  I feel the store is a bit cleaner.,I appreciate that most anything you might want will be in that store.  Generally there are pretty good prices and there are sales personnel there to help you.,Female,65-74,Texas,Target
94c59dd8-6b13-4b4d-ad6f-e811d14940cf,10/02/2022 01:00,"Your produce is terrible. If I want fresher produce, I will go elsewhere, like Kroger. If I want produce at the peak of ripeness I will go elsewhere.""",,"It's close, always open, and has what we want.",Male,65-74,Texas,Walmart
956caea5-e5a8-40db-89aa-cd3ca065703b,10/02/2022 01:00,I love Walmart. They  always have what I need. The only thing that i hate about them is that they have bad customers service.,,Everything is there,Female,25-34,Texas,Walmart
ba30856b-d347-4868-bd02-905741ed2fa6,10/02/2022 01:00,"I would say the workers, they don't really have good customer service they would let you walk past without asking if you need anything or need help looking for something. Another thing is how packed it be Walmart need away to get customers in and out in a orderly manner.""",,"Most of the time when I go to Walmart they always have what I am looking for, unless I shop online. Then I can order anything I need and it would come in a nice time frame.",Male,18-24,Texas,Walmart
e47cfb3b-ecc7-43cf-9ba6-5162d27c29b1,10/02/2022 01:00,I don't really have any complaints. I guess I'd say to them that in their stores there's never enough cashiers.,,I can shop online or in store. Or pick up my things curbside or delivered. And they have everything you need in one store.,Female,45-54,Texas,Walmart
e4fd7889-0159-435b-8af9-5b2c4a15a4c4,10/02/2022 01:00,They are very short staffed and I would very much appreciate if they opened more check out lines,Target has more check out lanes and are by far more organized,They have everything you need.,Female,18-24,Texas,Target
e6cf7384-bded-4ef3-8b77-e9ccfab95553,10/02/2022 01:00,I'm writing  to complain about the lack of cashier's att the registers. The end part of my experience while shipping is what puts a negative spin on it. Waiting in long self check out lines whether it's for one thing or a bunch . I feel this could be easily sped up with more people at the registers.,,I like the low prices and variety of items that they carry . I can almost always get everything and anything I need or want in a single trip.,Female,18-24,Texas,Walmart
f2bca732-cf05-4bdb-bbff-5a10ee1154e0,10/02/2022 01:00,I have nothing to write negative about to walmart,It has different brands that walmart doesn't offer,All the low low prices,Female,35-44,Texas,Target
fcd63199-7f12-4ee2-a96d-55ab9cafb17d,10/02/2022 01:00,"I would like to see better prices on everyday items, like groceries.  These are not competitive.""",,Great prices on items I sometimes cannot find anywhere else.,Male,65-74,Texas,Walmart
fe455192-382a-4d83-843a-c8e3d625b3a1,10/02/2022 01:00,"The aisles are always cluttered, the checkout lines are always long, items are out of stock often, crowded with people at all times and lots of foolishness going on in the stores""","Cleaner, more organized, lovely atmosphere, checkout lines are quick, not overly crowded",I love the one stop shop and the low prices. I also love the variety of brands,Female,45-54,Texas,Target
0af08ba4-2512-494d-be1a-12fb32337aa2,10/02/2022 01:00,Thanks for doing what your supposed to do,,"Affordable, well stocked, I know what to expect, easy in and out",Female,45-54,Texas,Walmart
0f8e66ac-628d-40a9-84ab-7f08a8e4c97b,10/02/2022 01:00,I don't like the self checking.when I'm shopping in store. I prefer going to a person.,,Has everything I need in one store. They also have curbside service. They have many convenient locations for me.,Female,55-64,Texas,Walmart
11b69f69-82a7-44bb-9109-c74ebad48d28,10/02/2022 01:00,No enough riding chairs for elderly people,,Walmart has everything I love it,Female,45-54,Texas,Walmart
18a17052-c677-4b63-b6e4-c42343743cfa,10/02/2022 01:00,I would complain about the cleanliness of the facility and the lack of friendliness of employees,I think the quality of products is better,I like that it has so much to offer.,Female,35-44,Texas,Target
1970f1f4-9f60-4a37-a79b-154415dea15f,10/02/2022 01:00,More checkers,,It has everything I need.,Male,55-64,Texas,Walmart
23deffcc-4de9-4e0b-8a24-852f025e45aa,10/02/2022 01:00,I would like a better selection of higher quality fishing gear available. The available selection is of lower quality and usually breaks fairly easy,,Prices,Male,45-54,Texas,Walmart
44fa4a0b-6923-4cce-ae11-a3851d30b28d,10/02/2022 01:00,"There isn't much to complain about ad far as the items go. However, their customer service leaves much to be desired.""","Target has awesome customer service,  their stores are always clean no matter which store you go to and they have high quality items.",Low prices,Female,25-34,Texas,Target
5c6c6b91-2f2f-4d1e-8470-011fea76054b,10/02/2022 01:00,"To whom it may concern, the water isle needs better and more detailed pricing.. The fabric station needs to be a lot bigger with more selection and it's time to go back to being open 24/7""",,Walmart is the best place to shop. They have/carry anything you need and at great prices. They are always marking down to clearance and they're employees are great,Female,35-44,Texas,Walmart
5c8e0ae7-821b-40d0-9a16-522a43d4756d,10/02/2022 01:00,"the customer services in Walmart not very Collaborative when you need them most , so please look into this problem and try to find a solution ..""",,keeping with new trends is the most thing i like about walmart .,Male,35-44,Texas,Walmart
6ebecc44-5c22-4ce5-879a-f04f07f076c6,10/02/2022 01:00,I would say we need to speed up kine at all times in checkout it can get crazy,,The prices and the variety,Male,35-44,Texas,Walmart
761790ee-ddee-4b04-8eac-18f39c394378,10/02/2022 01:00,"Well, I don't have anything to complain, but if that were the case, I will ask the managers to open more cashiers there's is alway a long line.""",,Is a store that is near my home and it has everything that I need for my home.,Female,35-44,Texas,Walmart
20c9b743-24c7-43fa-942d-bbdf23b9f5bb,10/02/2022 01:00,I wouldn't write a complaint letter to Walmart,,Great prices,Female,25-34,Texas,Walmart
3b7d44cb-4df3-4781-a4d2-0010cb8483e8,10/02/2022 01:00,I have been a customer for a number of years and never written,,Hours,Male,65-74,Texas,Walmart
550778cc-8b01-429b-bca5-c3db48b01d3a,10/02/2022 01:00,"Dear Head of Walmart.  You do have some employees. I think are very rude and unhelpful.  But majority are good.  But like I said, you have some that can not or will not help you.  In other words, not customer oriented.""",,They are a store usually I can find everything I looking for.  You usually get in and out quick or if you order on line for pickup it is ready when they say.,Female,65-74,Texas,Walmart
6b8067ef-fea2-49de-a150-aa3217a0b227,10/02/2022 01:00,"I would complain about limited parking,also the handicap riding carts are never in there spot and when they are they ain't got a charge or are broken.""",,I can find just about anything for a great cost.,Male,45-54,Texas,Walmart
7ceaafd1-fd8a-41e7-96e4-e84fff04ed62,10/02/2022 01:00,There is nothing I would complain about.,,Low prices and easy to get in and out of the store.,Male,55-64,Texas,Walmart
98d9d33d-5e7d-47f8-a8dd-b648a805a928,10/02/2022 01:00,Please fix your app. It doesn't let me login. I have to use the website to access your site and services,,Prices and Easy to navigate,Female,35-44,Texas,Walmart
be6c8003-42e9-45d8-a5d4-03842282d831,10/02/2022 01:00,They need more cashiers. They have like 50 registers with 5 cashiers,,I like the fact that you can shop for a variety of items and for reasonable prices,Female,35-44,Texas,Walmart
c5bdb849-a6c2-4152-aa6e-1223768d9d1d,10/02/2022 01:00,Customer service,Quality of products now,One stop shop,Female,45-54,Texas,Target
ddc58edc-4d21-4e88-a123-7107118bd2a6,10/02/2022 01:00,Too many self checkout lines and not enough physical people working as cashiers.,,I love the low prices and the fact I can shop online and ha e stuff delivered quickly to my door.,Female,25-34,Texas,Walmart
e453cdc0-97fe-4884-9103-f6d79b8cc9fe,10/02/2022 01:00,Maybe for the time I lost making a. Big line and just one or two cashier.,,The service and variety,Female,45-54,Texas,Walmart
e52ca92b-b12c-45b9-ae1a-0f24ceeb721c,10/02/2022 01:00,"I would complain about the returning of items because I went to return some stuff and the customer service couldn't let us return it because something wasn't working.. Those moments need to be figured out, there shouldn't be issues like that. There's customer service for a reason.""",,"Walmart has always had the products my family needs, and is reliable. The customer service is great, you can always rely on Walmart to have your shopping needs.",Male,18-24,Texas,Walmart
e97b337c-d73c-4949-937e-d28db451a024,10/02/2022 01:00,Your store and employees smell of old cheese. This is where dreams come to die,,Cheap,Male,25-34,Texas,Walmart
ea896564-4094-4c44-856a-548610bf66bb,10/02/2022 01:00,Why does it always take me so much longer to check out than it does to do the actual shopping. Seeing all the registers that don't operate is additionally frustrating,,Prices and the variety of things I can get in one stop,Female,45-54,Texas,Walmart
fce7d2ed-03a1-451d-9ca6-d4436a687335,10/02/2022 01:00,I would like see the store more organized and with a faster service. The employees are not so friendly.,It is always so organized and has unique stuff and alot more staff. They are all helpful,I like that I can find anything and at a reasonable price.,Female,25-34,Texas,Target
0efa0636-c4e7-4b29-876b-02deb98720cd,10/02/2022 01:00,"I would complain about the increase in pricing, lack of price match and inability to use coupons during pickup or delivery orders. I would also complain about the dirty fresh meat areas - there are always various juices and the packages are often sticky.""",Target's stores are cleaner and their associates are much more friendly. In addition their merchandise is of highest quality.,Walmart sells almost everything you need at ok prices. Their pickup and delivery options are great and always expanding.,Male,45-54,Texas,Target
1a03bd8a-7e62-49c4-8d88-52816c7b7933,10/02/2022 01:00,Prices  are to high and to many people,Better stuff and nicer selection  of clothes,Clothes  and food and perfume  and household  department,Female,35-44,Texas,Target
1ccb5cbb-3db7-4567-9b85-1a2588e00fec,10/02/2022 01:00,items in store are not consistently in store when replacements are needed,,convenient location to my neighborhood,Female,65-74,Texas,Walmart
3e0e0222-4a74-4b6a-b706-1acacf9859e6,10/02/2022 01:00,The lack of having the customer's best interest in mind. The apparent and evident moral of those working in the Customer Service Department/Desk. These persons rarely if at all take the smallest amount of initiative to go over and beyond the call of duty to ensure customers leave happy. And make them want to return. Customer retention is at an all time low,The customer service and ho hassle with returning,Prices,Male,45-54,Texas,Target
475c39fd-adde-49a4-a754-5fe25e44c81f,10/02/2022 01:00,I feel Walmart should keep things in stalk and more organized I'm tired of always having a hard times finding my stuff,,Walmart has great deals and is the closest near me,Female,25-34,Texas,Walmart
4cb41ca9-bbfb-4f08-9001-eb54bfaafdad,10/02/2022 01:00,I would hate to inform you that I am a bit tired from being in a bad way lol I feel bad I feel good to have it to myself I just don't really care,,I love that it helps me find things easy in the store and also at a cheaper price,Female,18-24,Texas,Walmart
4e527cd5-a101-4e3d-a3ae-532f87839c2b,10/02/2022 01:00,I dont have any complaints about them.,,Most of the employees are friendly and very helpful.  I do a lot of shopping in various departments so its saves time.  They have very good prices so I save a little money.   I don't know what we would do without them.,Female,65-74,Texas,Walmart
6cdd4eb6-e013-470d-aaa0-137975ad67ee,10/02/2022 01:00,It's dirty,Cleaner,It's too run down where I live,Male,25-34,Texas,Target
ad113960-0787-4c3e-b621-86bdb5c596d9,10/02/2022 01:00,I would like the employees to have a much higher minimum wage and also not rely heavily on self-checkouts.,,"I love that they have everyday low prices. You know what they say, 'save money. live better. Walmart.'",Gender diverse,18-24,Texas,Walmart
cc8afda8-a7b6-425e-9a96-f4922e36bbff,10/02/2022 01:00,I would complain if my product was wrong,,The quality of its products,Female,35-44,Texas,Walmart
f9a05124-e951-4864-b048-b96b9861cb96,10/02/2022 01:00,I want a new types of products and l want more different products,,It's very important and interesting and trendy,Male,25-34,Texas,Walmart
1fe31fc2-2d30-4976-838c-8ca8a57316a7,10/02/2022 01:00,You did not have the items you advertised in the store,,That they have lots of deals and their prices are resonable.,Female,55-64,Texas,Walmart
3909e0c7-3ee8-4757-ae98-47cd55131f88,10/02/2022 01:00,I will say there need tissues in the rest room and keep it vinegarlized,,I like that all the groceries are well arranged neat colors ful eye catcher.  They machines refrigerator very chill. So I really love like Walmart.,Female,25-34,Texas,Walmart
5f1c7418-00df-4da9-b7f9-f03306558998,10/02/2022 01:00,The fact that they have all those chech out lanes and only a couple of them open even during peak times & holidays,,It has everything I need in one place,Male,45-54,Texas,Walmart
61308b16-e8c4-4162-9dcf-1807654e8a13,10/02/2022 01:00,The fruits are sometimes rotten and not fresh.,Target has better quality than Walmart and better clothing.,Walmart is amazing when coming to groceries and clothing. It is very cheap too. It has good quality.,Female,18-24,Texas,Target
6a3bd712-1465-4aaa-b701-d7cac2837fbd,10/02/2022 01:00,The attitudes of the employees,,I love the deals,Male,18-24,Texas,Walmart
72036fdc-f87e-4441-8308-fd6e4ee08ce6,10/02/2022 01:00,I hate when the item I want is constantly out of stock,,The decent prices and the variety of items to choose from,Female,18-24,Texas,Walmart
83e69ae4-9245-4078-92fd-0eaee807adc0,10/02/2022 01:00,the fact that they're very low stock by 10,it has bette clothing options,the atmosphere,Male,18-24,Texas,Target
869bcbc5-5576-47ef-8c6a-59226076b8b9,10/02/2022 01:00,We would like to receive what we order because of dietary restrictions. That is why inconsiderate substitutes are not wanted. If an entire order is sugar free why would you include a substituted sugar item???,,"Diverse options , good prices usually, usually good web page, convenient pick up times , and nice people",Male,65-74,Texas,Walmart
8cba36cd-d6c6-4c52-b3af-a0f04e257027,10/02/2022 01:00,"I dislike the way I'm followed if I'm in the store too long. Like I'm stealing or something.  I understand that people do steal,  but everyone isn't stealing.""",,I love walmart because the prices are cheap and of decent quality,Female,35-44,Texas,Walmart
8ff92eec-0597-44a1-b834-37ca042b55fe,10/02/2022 01:00,While upgrading the store items are being relocated and hard to find .,,"It's a store where I can find pretty much anything I need. 
It's convenient to where I live. I go in for certain items with a particular amount in mind to spend and always come out with more . What I LOVE most would be one stop shopping.",Female,65-74,Texas,Walmart
